INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
10/13/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FLG,ENDEAVOR AIR,CRJ100/200,D,UNKBL,Unknown bird - large,N,,188,10,22,4,A,3,2,5,5,,,N8560F,3740,FALSE,FALSE,10,2013,Day,1655,AGL,,35,,0,100,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,,1,1,Large,Y,xxxx-xx-xx-xxxxxx,FLT CREW SAW ON LRG BIRD FLY RIGHT OVER THE COCKPIT AND THEN HEARD A SOUND HITTING THE TAIL OF THE A/C. GRND CREW INSPECTED A/C AND FOUND NO BIRD OR DMG TO A/C.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/26/14 0:00,FALSE,FALSE
10/2/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FDX,FEDEX EXPRESS,MD-11,D,UNKBS,Unknown bird - small,N,,583,39,34,46,A,4,3,1,6,1,,N624FE,1407,FALSE,FALSE,10,2013,Night,515,AGL,,30R,,4900,200,16,Approach,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,Y,xxxx-xx-x-xxxxxx,"ATIS WARNING. ONLY TRACES OF BLOOD AND FEATHERS FOUND ON SKIN OF A/C. LOCATION REPTD AS 16NM, SSE KMSP.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,2/26/14 0:00,FALSE,FALSE
10/2/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FLG,ENDEAVOR AIR,CRJ100/200,D,ZX018,House finch,N,,188,10,22,4,A,3,2,5,5,,,,3946,TRUE,TRUE,10,2013,Day,800,AGL,,30L,,,,,Approach,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,,1,1,Small,N,"SOURCE = TWO xxxx-x (xxxx-xx-x-xxxxxx, Rx)",ID BY SMITHSONIAN. HIT BIRD OVER RIVER BEFORE LANDING RWY 12R/30L.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,2/26/14 0:00,FALSE,FALSE
10/1/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,FDX,FEDEX EXPRESS,A-300,D,UNKBS,Unknown bird - small,N,,04A,1,22,7,A,4,2,1,1,,,N680FE,1325,FALSE,FALSE,10,2013,Night,2215,AGL,,30L,,100,160,,Climb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,,1,Small,Y,xxxx-xx-x-xxxxxx,HEARD THE STRIKE IMMEDIATELY AFTER T/O. NEVER SAW BIRD IN THE DARK. WRITTEN UP BY MECHANICS UPON ARRIVAL IN KMEM. NO APPARENT DMG. NOT ENOUGH MATERIAL FOR A SAMPLE.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Pilot,,,2/27/14 0:00,FALSE,FALSE
9/27/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UPS,UPS AIRLINES,B-757-200,D,UNKBM,Unknown bird - medium,N,,148,26,34,40,A,4,2,1,1,,,N411UP,558,FALSE,FALSE,9,2013,Night,415,AGL,,12R,,400,128,1,Approach,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,,,1,1,Medium,N,UPS EVENT REPORT xxxxx,SMUDGE ON RADOME,,,,,,,,Airline Report,Airline Operations,,,1/15/14 0:00,FALSE,FALSE
9/24/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,,,,,,,,,,,,,,,,TRUE,TRUE,9,2013,,,AGL,,12L/30R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,"DURING RWY INSPN, ONE HORNED LARK CARCASS FOUND ON THE N SHOULDER OF TWYS C AND G INSPN. 1101 AM DAY.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/16/14 0:00,FALSE,FALSE
9/19/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,SCX,SUN COUNTRY AIRLINES,B-737-700,D,1C2101,Red bat,N,,148,42,10,1,A,4,2,1,1,,,N710SY,,TRUE,TRUE,9,2013,Night,2307,AGL,,30R,,2200,,,Approach,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Small,Y,,ID BY SMITHSONIAN. FAA 11082. DNA.,,,,,Deleted,Deleted,9/19/13 0:00,FAA Form 5200-7,Airport Operations,,,1/16/14 0:00,FALSE,FALSE
9/16/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,O2205,Mourning dove,,,,,,,,,,,,,,,,TRUE,FALSE,9,2013,,,AGL,,35,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,OPS REPORTS UNK REMAINS FOUND ON RWY 17 AT TWY K6. MED SIZED BIRD. FOUND APPROX 15 FEET E OD EDGE STRIPE ON SHOULDER. 832 AM DAY.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/16/14 0:00,FALSE,FALSE
9/16/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,O2111,Rock pigeon,,,,,,,,,,,,,,,,TRUE,FALSE,9,2013,,,AGL,,17/35,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,"OPS REPTD ANOTHER BIRD CARCASS ON RWY 17/35 ABEAM TWY K2, 15 FEET E OF EDGELINE. STRIKE NOT REPTD. 836 AM DAY.",,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/16/14 0:00,FALSE,FALSE
9/13/13 0:00,MN,KMSP,MINNEAPOLIS-ST PAUL INTL,UNK,UNKNOWN,UNKNOWN,,F1003,Pied-billed grebe,,,,,,,,,,,,,,,,TRUE,FALSE,9,2013,,,AGL,,30L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,"SOURCE = TWO xxxx-x (xxxx-x-xx-xxxxxx, Rx)",WS REPTS FINDING A PIE-EYED GREBE ON TWY A BTWN A2 AND A3. 1233 PM DAY.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,1/16/14 0:00,FALSE,FALSE
