"country","unemployment","inflation","infant","migr"
"Gabon",21,1.2,47.03,2.07
"Ghana",11,11,38.52,2.13
"Mali",30,0.1,104.34,2.33
"Latvia",9.8,0.2,7.91,2.37
"Uzbekistan",4.9,10.1,19.84,2.46
"Comoros",20,2.5,65.31,2.58
"Peru",3.6,2.9,20.21,2.69
"Kiribati",2,0.2,35.37,2.86
"Bulgaria",11.6,1.5,15.08,2.89
"Nicaragua",7.2,5.7,20.36,3.13
"Saint Lucia",20,5.3,11.75,3.13
"Grenada",33.5,2.4,10.5,3.24
"Georgia",15,0.5,16.68,3.25
"Gibraltar",3,2.8,6.29,3.29
"Albania",16.9,1.7,13.19,3.31
"Estonia",10.9,3.4,6.7,3.37
"Morocco",9.5,2.5,24.52,3.46
"Cuba",4.3,6,4.7,3.64
"Timor-Leste",18.4,4.5,38.79,3.87
"Northern Mariana Islands",11.2,2.7,5.5,4.02
"Haiti",40.6,6.3,49.43,4.12
"Sudan",20,25,52.86,4.36
"Jamaica",16.3,9.4,13.69,4.83
"Marshall Islands",36,12.9,21.39,4.92
"Wallis and Futuna",12.2,2.8,4.49,5.27
"Dominica",23,1.8,11.61,5.39
"Armenia",17.3,6.2,13.97,5.88
"Greenland",9.4,2.8,9.42,5.98
"Kyrgyzstan",8.6,6.8,28.71,6.16
"South Africa",24.9,5.8,41.61,6.27
"Trinidad and Tobago",5.9,5.4,24.82,6.42
"Fiji",7.6,3,10.2,6.86
"Congo, Republic of the",53,1.7,59.34,7.02
"Guam",8.2,4,5.51,7.61
"Lesotho",25,5,50.48,7.62
"Virgin Islands",6.2,2.2,6.79,7.84
"El Salvador",6.3,0.9,18.44,8.44
"Saint Pierre and Miquelon",9.9,4.5,6.95,8.57
"Puerto Rico",16,0.9,7.73,8.93
"Saint Vincent and the Grenadines",18.8,2.8,13.07,9.6
"Guyana",11,3.9,33.56,9.67
"Moldova",5.8,4.6,12.93,9.8
"Maldives",28,5.1,24.59,12.67
"Tonga",13,2,12.36,17.85
"Micronesia, Federated States of",22,3.4,21.93,20.93
"Syria",17.8,59.1,15.79,113.51
